,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
sigma=0.00883049,1.6790663853527144e-07,0.034972479401416755,2.8687205817694515e-08,0.03090483529194322,6.807160812412499e-08,0.12404868262320591,8.942884561696499e-08,3.275256127027535e-08,0.005391526201398079,0.012629626351548863,5.3570860689577045e-08,0.008006845742014794,1.613547827712128e-08,0.10718442019853813,0.0059030171388633765,0.14500430088439517,2.706938695866346e-08,1.4534413491179348e-07,0.0812195707615868,5.539727366048473e-08,0.010505646615954264,1.6108003139763218e-08,0.051346920938436014,0.1452057467726715,0.03198251617559482,0.01335338174768837,2.2465892116928526e-07,3.8204193698229674e-08,0.1923393566653906,1.6315424147528933e-07
sigma=0.0114363,0.08705200139868043,0.017160637863915418,1.598244755531555e-07,4.1575521547994747e-07,3.17082413161307e-07,0.35261396722529603,2.0563917984744656e-07,2.671058857404095e-07,2.2504852071446612e-07,1.7150563939265008e-07,3.2737172765509625e-07,0.05784731259999651,9.521235199550632e-08,7.845126074073722e-07,3.68531895433328e-07,0.1041439477463845,2.192774484944235e-07,1.9679913511372002e-07,0.013877598901063257,0.03596568548668332,2.1761909590779816e-06,0.014619715937908399,1.302802970105049e-06,0.17214495026150894,1.765378418558955e-07,0.12478269514612325,0.01978302750845515,1.7439525162874314e-07,7.534127292982582e-07,1.2291773704649286e-07
sigma=0.0140422,0.12021651074378926,2.063329713255141e-05,6.194712727000249e-07,9.398652550479834e-07,1.3894353538612714e-06,0.3997584660331067,6.58571282137232e-07,1.001836043089593e-06,7.429710287747337e-07,5.620185424279995e-07,1.1837746585629211e-06,0.04471837013920312,3.8515624610409826e-07,1.7570489053947048e-06,1.3607224911734794e-06,0.014354290763003888,9.110046622553136e-07,6.243459129262773e-07,1.0895998737866726e-05,0.05551931166761671,1.746049155674154e-06,0.05977328368073427,4.72403048589586e-06,0.10136011325255537,5.734951286743039e-07,0.1951376073804038,0.009108960878135976,6.595750397133e-07,1.2933977026699068e-06,4.233964133409919e-07
sigma=0.016648,0.1468788165542452,4.492424149435569e-08,6.487410838027682e-09,1.0352024415290009e-08,1.3375342425291283e-08,0.4204821106383374,7.463650560454177e-09,1.1698525259805478e-08,7.421390011326332e-09,6.0599133940782395e-09,1.371017340924295e-08,0.008847082005195323,3.864253492513671e-09,1.5188300851583307e-08,1.2509095519747761e-08,1.9695044631010914e-07,1.1142749047347407e-08,6.8792296508436724e-09,3.5422001969599344e-08,0.05397796934548482,1.7634506975741652e-08,0.10999012931785523,3.7448382653441835e-08,2.4083600822917016e-06,5.95982744637153e-09,0.25981999196874445,1.003340026849137e-06,7.458876592304065e-09,1.2116744329327981e-08,4.402941786009929e-09
sigma=0.0192539,0.1579413142721466,9.646832022234887e-07,4.5405275461971705e-07,6.50506346463075e-07,5.506644134822268e-07,0.3225686545479748,4.5942304734409497e-07,6.208041800759223e-07,3.650172688171136e-07,3.2817695908126804e-07,7.295873714349e-07,4.214311218060053e-06,2.530960253017836e-07,6.009354851262807e-07,5.212413125524457e-07,1.3851913621543492e-06,5.790484863215745e-07,4.345582276382864e-07,8.715589458600094e-07,0.003700211152488362,9.488897723457941e-07,0.18128356869541531,9.673425138290007e-07,1.8296496261497307e-06,3.139262524061283e-07,0.33448453758719937,2.4138719938923596e-06,4.191962412911584e-07,5.911140235682169e-07,2.4689774564629974e-07
sigma=0.0218597,0.1500300262182707,1.418206708403513e-08,8.53419518798901e-09,1.162579697963689e-08,9.009194206447119e-09,0.2057694860350187,8.281119551733043e-09,1.0631644834579738e-08,6.13854564689804e-09,5.64930093569049e-09,1.2758035286453869e-08,5.8220144144881764e-08,4.654948084604229e-09,9.430820309079931e-09,8.463098891746044e-09,1.8516743967026662e-08,1.0056429203900923e-08,7.826895782558057e-09,1.2825482994225256e-08,1.1693689180012548e-06,1.6710695972540183e-08,0.2409952273362653,1.4173905791021408e-08,2.2929366479279035e-08,5.327166415639023e-09,0.4032037594280245,3.452445362736846e-08,7.341450792941709e-09,9.493729862785825e-09,4.308270779867809e-09
sigma=0.0244656,0.1411624039195245,1.0278655554360974e-07,8.568145139880612e-08,1.0730367891195454e-07,7.547420754170703e-08,0.09336277979881077,7.95939977039681e-08,9.142658680105525e-08,5.495871458287664e-08,5.210649117949669e-08,1.133752005707815e-07,3.41520342487762e-07,4.77819946601557e-08,7.476344056751185e-08,7.075388180452294e-08,1.0814249843480549e-07,8.964484512506267e-08,7.438907282075785e-08,9.234323345971087e-08,4.545325227881159e-06,1.4801664487610987e-07,0.2970985575036968,9.840340536916161e-08,1.207885796144155e-07,4.802891466660258e-08,0.4683692546036245,1.969930710921233e-07,6.783541656474667e-08,7.55981056968557e-08,4.1138784005575825e-08
sigma=0.0270714,0.11249316140126626,7.141267047472284e-07,5.916114676908004e-07,7.323066459255525e-07,5.366754866719553e-07,0.00011347874768852545,5.464695661413772e-07,6.425252861413815e-07,3.928404481270598e-07,3.705267895795072e-07,7.459088166251163e-07,1.9403170195256414e-06,3.395400031246126e-07,5.369655674201113e-07,5.04916936398175e-07,8.195491118270777e-07,6.135183300696935e-07,5.263258919003296e-07,6.553099114836099e-07,9.653485491459506e-06,9.804926444920848e-07,0.35256684497826146,7.160854685382868e-07,9.460725206727608e-07,3.4670818367855316e-07,0.5348000409660555,1.285881537012436e-06,4.756989972611542e-07,5.661440057746809e-07,2.939038960267915e-07
sigma=0.0296773,2.0382694766365193e-06,4.961536631756568e-07,5.324066194248178e-07,6.090411929282579e-07,4.246488526303224e-07,1.0537821395072805e-06,4.818019284422326e-07,5.002359772247395e-07,3.325695240861424e-07,3.199523162737101e-07,5.941080106702143e-07,7.940637685593882e-07,3.333158927176348e-07,3.982452951779291e-07,3.9906329318524087e-07,5.034392845035517e-07,5.00666149947534e-07,4.706183326471922e-07,4.535578065708442e-07,1.3411879158022311e-06,7.430060243062937e-07,0.36347072270044417,4.778121652244616e-07,5.409821632453147e-07,2.906136773427497e-07,0.6365128802832409,6.806627660180354e-07,4.0668434740299824e-07,4.123310880653993e-07,2.677966432345746e-07
sigma=0.0322831,8.663926831941977e-07,8.701425000383634e-08,1.6460553832014084e-07,1.8165104495727928e-07,9.065022997772591e-08,1.872365374990137e-07,1.3819463025888486e-07,1.0120953577935381e-07,6.896596029735201e-08,7.068461687111019e-08,1.537750433101282e-07,1.6271360027614755e-07,8.361084335704431e-08,6.251315906899452e-08,7.955480778303691e-08,7.580422005389328e-08,1.2159239353323264e-07,1.2119820568955864e-07,7.094282003920972e-08,5.278754894282585e-07,2.740888267294427e-07,0.22330897492837262,7.152399111978382e-08,7.148537892383734e-08,5.666460696263547e-08,0.7766868095126935,1.1031309529634079e-07,9.18645780557615e-08,6.54726961242898e-08,5.7960150876227565e-08
sigma=0.034889,2.5105909356584047e-08,5.695319939413606e-09,1.0761806608274412e-08,1.0301515124532175e-08,6.541338096298901e-09,6.447082603550694e-09,9.525322935910052e-09,6.523780055786819e-09,5.799923087486647e-09,6.0118970751140725e-09,8.703517508198615e-09,7.1276171543043945e-09,7.303646331130849e-09,4.892924338159163e-09,5.998782219992388e-09,5.025440025391063e-09,7.8683743791678e-09,8.372351243484326e-09,5.057861513273613e-09,1.665843450564513e-08,1.3522193991049692e-08,0.1058149676095247,4.9485063199744216e-09,4.61059597835538e-09,5.085313782689044e-09,0.8941848116468781,5.567735063282077e-09,6.8961575029659156e-09,5.002945296618057e-09,5.387305161174891e-09
sigma=0.0374948,1.0449445215625117e-08,1.0770264420277401e-08,1.3702628188061824e-08,1.2542691311115337e-08,1.2276956650904674e-08,9.39502947158725e-09,1.3445644929968968e-08,1.1967701883893625e-08,1.1574712729511285e-08,1.1613934980154086e-08,1.27136495565795e-08,1.0579616068756592e-08,1.365636828925932e-08,1.0064100821975955e-08,1.1624780764777843e-08,9.937275536651384e-09,1.3049276336678894e-08,1.3258907747535304e-08,1.0178547765120205e-08,1.1206541630512655e-08,1.254249396909038e-08,1.564266834719017e-08,9.878729764355611e-09,9.530757187100662e-09,1.0381054250122498e-08,0.9999996632626768,1.090796798333296e-08,1.2611936003042769e-08,9.786243841876982e-09,1.144739754052198e-08
